,start,end,ETH,XRP,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,0.772963499876693,-1.0,0.8568321574563531,-1.0
7,01/01/2018,01/10/2017,0.2544101474193395,-1.0,0.16571851963722514,0.3504764462186506
8,01/04/2018,01/01/2018,0.33998956365323435,-1.0,0.2503293804708679,0.5196272032531509
9,01/07/2018,01/04/2018,1.2051020150157057,0.5271417122394351,0.5151774591370655,0.9554029260742314
10,01/10/2018,01/07/2018,0.857932577837862,1.4087608345291591,0.6534749692245705,1.746117355858417
11,01/01/2019,01/10/2018,0.061727711826239796,0.1346327526358295,0.07786849002044013,0.05529631067278228
12,01/04/2019,01/01/2019,0.15452616809787387,0.35186731562206097,0.18490703097471392,0.2599271220883286
13,01/07/2019,01/04/2019,0.25886125556420214,0.21014392743431812,0.22202060009188912,0.11650022852455445
14,01/10/2019,01/07/2019,0.36875469554357393,0.36455048901035286,0.28566398945671345,0.8424045567852925
15,01/01/2020,01/10/2019,0.4602627714649205,0.401252496784725,0.34251198561360113,0.4607362871865078
16,01/04/2020,01/01/2020,0.5221485893824609,0.3941531186140686,0.31527855597585425,0.7975043692364878
17,01/07/2020,01/04/2020,0.5352159422073401,0.4163388802733288,0.3287856013287904,1.2276300308215478
18,01/10/2020,01/07/2020,0.522008043281696,0.5930108552316306,0.577866820671763,1.239120638783878
19,01/01/2021,01/10/2020,0.7491567281296492,0.44312729838851567,0.31060131923042816,2.616744271594103
20,01/04/2021,01/01/2021,0.7640052362790347,0.9120735104891076,0.4788801255723072,1.1280838599458582
21,01/07/2021,01/04/2021,0.4816665010788139,0.4237936522873089,0.5772240037741209,2.024258388699912
22,01/10/2021,01/07/2021,1.9473498101743707,4.925860978548677,0.8762962843740726,2.8431258575974874
23,01/01/2022,01/10/2021,0.6565131298204346,1.126400834919732,0.4580477277878001,3.4669225509475727
24,01/04/2022,01/01/2022,0.752469178981677,3.469084652572724,0.3413482874119867,5.073466276073173
25,01/07/2022,01/04/2022,1.740102065219008,3.274760975387448,0.8316679828873375,6.192576087172351
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0
