,start,end,ETH,XRP,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,0.28668147651677117,0.3225933022275653,0.28633636518095784,0.33190743015361845
7,01/01/2018,01/10/2017,0.10632063962230165,0.10105002889113442,0.09967083661460721,0.0691297361285422
8,01/04/2018,01/01/2018,0.21237812413814652,0.2796096482916575,0.31421649772178334,0.34729928270763044
9,01/07/2018,01/04/2018,0.4148068191966202,0.33853295011403106,0.4009206030145725,0.3676119072984524
10,01/10/2018,01/07/2018,0.006657900662150764,0.020681852559785767,0.012916960519987943,0.01735204196557069
11,01/01/2019,01/10/2018,0.2987194541912431,0.2950147956412722,0.2908443376622053,0.05775795642432248
12,01/04/2019,01/01/2019,0.29299756045388586,0.2956526435631103,0.2764118831493953,0.3786535967485094
13,01/07/2019,01/04/2019,0.3701237035960437,0.2809172906998465,0.26375534452824145,0.4138295174227604
14,01/10/2019,01/07/2019,0.39069413982230733,0.3518083905150422,0.36329837274445376,0.3907120079831213
15,01/01/2020,01/10/2019,0.4085517087439677,0.4358152216622445,0.36117584430083277,0.4030148979223135
16,01/04/2020,01/01/2020,0.4555806410826502,0.36787947734240234,0.3534759955844519,0.39736383750726967
17,01/07/2020,01/04/2020,0.42083515986157555,0.36681465797476187,0.4395907464267923,0.4254903081215995
18,01/10/2020,01/07/2020,0.3794904301607369,0.32565899210345295,0.32138494217885727,0.3462233983749438
19,01/01/2021,01/10/2020,0.4673235117106647,0.3938471577957686,0.2644504423971777,0.3844821178355495
20,01/04/2021,01/01/2021,-1.0,-1.0,-1.0,-1.0
21,01/07/2021,01/04/2021,-1.0,-1.0,-1.0,-1.0
22,01/10/2021,01/07/2021,-1.0,-1.0,-1.0,-1.0
23,01/01/2022,01/10/2021,-1.0,-1.0,-1.0,-1.0
24,01/04/2022,01/01/2022,-1.0,-1.0,-1.0,-1.0
25,01/07/2022,01/04/2022,-1.0,-1.0,-1.0,-1.0
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0
