,start,end,ETH,BTC,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,0.6082201609789368,0.5697556706700713,-1.0
7,01/01/2018,01/10/2017,0.15024980858829368,0.11532251552004477,-1.0
8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0
9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0
10,01/10/2018,01/07/2018,1.299089503431909,0.7337080142857626,-1.0
11,01/01/2019,01/10/2018,0.11559408388576109,0.1465598302692103,0.27106194635821385
12,01/04/2019,01/01/2019,0.20104076129621734,0.15635993857237904,0.2728322724494453
13,01/07/2019,01/04/2019,0.18935397840354454,0.14782852639203467,0.2009551779814656
14,01/10/2019,01/07/2019,0.3873230501437397,0.37134363422864713,0.6865258273165957
15,01/01/2020,01/10/2019,0.6412123706244847,0.4429649551284925,0.44755246684125555
16,01/04/2020,01/01/2020,0.5058935050700573,0.32284370062942463,0.9621419584087937
17,01/07/2020,01/04/2020,0.6252101530155091,0.45979070792521637,0.7121533375265258
18,01/10/2020,01/07/2020,0.537153599803843,0.3989342324695344,1.1810889239242666
19,01/01/2021,01/10/2020,0.8092962903261601,0.2730513240213951,0.6007288595086873
20,01/04/2021,01/01/2021,0.6243345501466555,0.4002950468468144,1.7243708840202887
21,01/07/2021,01/04/2021,0.6448449189858696,0.5582407375532875,1.1412082605172436
22,01/10/2021,01/07/2021,1.4669500912322244,0.9361761634751761,3.211200403180723
23,01/01/2022,01/10/2021,0.1827055709237498,0.24071969815412533,1.0515100468078464
24,01/04/2022,01/01/2022,0.6020507382459104,0.41649672374412877,3.240368919854384
25,01/07/2022,01/04/2022,0.8837929202634783,0.9627453023769946,8.519207404732175
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0
